SEQUENTIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,REAL,28.064,28.753,27.201,34.594,15.716,29.677,27.613,34.94,48.552,33.783,,36.3012,1.77593853646711,0.0277490396322987,,,,,REAL,33.687,33.497,32.66,45.192,32.95,44.925,32.998,32.146,32.886,32.574,,44.9517,1.43417712789505,0.0224090176233602,,,,,REAL,117.767,107.793,142.529,94.843,93.975,810.202,119.728,87.128,91.085,84.213,,209.2963,0.308025989948222,0.00481290609294097
nlpkkt240.mtx,CPU,28930,29360,28540,31410,27560,27120,29160,29570,28310,28320,,29754,,,,,,nlpkkt240.mtx,CPU,133740,130470,133810,131160,133280,130720,130990,132700,131900,134730,,133902,,,,,,nlpkkt240.mtx,CPU,104160,98380,86040,98240,95620,915620,115700,101150,122500,1059620,,930020,,
,REAL,554.602,566.846,551.981,580.256,545.426,543.92,555.849,565.683,550.975,552.372,,568.187,3.25361298304959,0.0508377028601499,,,,,REAL,2104.336,2050.279,2103.535,2060.012,2092.412,2053.796,2059.254,2086.746,2072.427,2119.529,,2105.8553,0.87786686958026,0.0137166698371916,,,,,REAL,2457.306,2400.43,2329.38,2331.809,2289.925,37260.197,2220.387,2363.26,2165.275,37062.099,,37081.9088,0.0498534368867225,0.000778959951355039
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,CHUNK_SIZE = 100,,,,,,,,,,,,,,,,,,,CHUNK_SIZE = 100,,,,,,,,,,,,,,,
BEST TIME PER MATRIX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
matrix,best time,speedup,config,,,,,,,,,,,,,,,,DYNAMIC – 4 – 100,,,,,,,,,,,,,,,,,,,GUIDED – 4 – 100,,,,,,,,,,,,,,,
ML_Geer.mtx,31.5145,10.6359358390582,D-32-100,,,,,,,,,,,,,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency,,,,matrice,metrica,Test 1,Test 2,Test 3,Test 4,Test 5,Test 6,Test 7,Test 8,Test 9,Test 10,,90 percentile,Speedup,Efficiency
